name,state,description,tags
National Overseas Scholarship For Students With Disabilities,Ministry Of Social Justice and Empowerment,"A scholarship scheme by the Ministry of Social Justice & Empowerment for regular, full-time students with disabilities to obtain higher education viz., Master's degree, or Ph.D. courses from foreign universities, in one of the specified fields of study.","['Degree', 'Empowerment', 'Higher Education', 'Person With Disability', 'PhD', 'Post-Graduation', 'Scholarship', 'Student']"
RMEWF-Financial Assistance For Medical Treatment Of Ex-Servicemen,Ministry Of Defence,A scheme to provide financial assistance to a non-pensioner Ex-Servicemen/widows of ranks up to Havildar/equivalent to meet routine medical expenses.,"['Ex-Servicemen', 'Health Checkup', 'Health Treatment', 'Medical Expenses', 'Widow Of Ex-Servicemen']"
Women Scientist Scheme-C,Ministry Of Science And Technology,"A scheme by MoST for female candidates with a break in their career interested in addressing societal challenges through viable S&T interventions. 1-year training is provided in Intellectual Property Rights (IPRs), patent search, know-how, drafting, filing, trademarks, trade secrets, and copyright.","['Post-graduation', 'Science', 'Scientist', 'Skill', 'Technology', 'Women']"
Stand-Up India,Ministry Of Finance,"A scheme by Ministry of Finance for financing SC/ST and  Women Entrepreneurs by facilitating bank loans for setting up a greenfield project  Enterprise in manufacturing, services, trading sector and activities allied to agriculture.","['Business', 'Entrepreneur', 'Finance', 'Loan']"
Pradhan Mantri Suraksha Bima Yojana,Ministry Of Finance,An Accident Insurance Scheme offering accidental death and disability cover for death or disability on account of an accident.,"['Accident Insurance', 'Bank Account Holders', 'Death Insurance', 'Insurance']"
RMEWF-Financial Assistance To 100% Disabled Child Of Ex-Servicemen,Ministry Of Defence,A scheme to provide financial assistance to Ex-Servicemen or their widows for their 100% disabled child.,"['Differently Abled', 'Ex-Servicemen', 'Widow Of Ex-Servicemen']"
Post Matric Scholarship Students With Disabilities,Ministry Of Social Justice and Empowerment,"A scholarship scheme by DoEPwD for students with disabilities pursuing a post-matric qualification from UGC/AICTE recognized universities, i.e. students of Class 11th, Class 12th, including Polytechnics, Post-Matriculation Diploma/Certificates and Bachelor’s/Master’s Degree/Diploma in India.","['Degree', 'Diploma', 'Graduation', 'Persons With Disability', 'Post-Graduation', 'Post-Matric', 'Scholarship', 'Student']"
Skill Loan Scheme,Ministry Of Skill Development And Entrepreneurship,"A Skill loan scheme by Ministry of Skill Development and Entrepreneurship to provide loan upto Rs. 1,50,000 to student who has secured admission in a course run by Industrial Training Institutes (ITIs), Polytechnics or in a school recognized by Central or State education Boards or in a college affil","['Industrial Training Institutes (ITIs)', 'Polytechnics', 'Skill Development', 'Student']"
National Pension Scheme For Traders And Self Employed Persons,Ministry Of Labour and Employment,A voluntary and contributory pension scheme by the Ministry of Labour and Employment. This scheme is meant for old age protection and social security of Small Scale Traders and Retailers. The beneficiary would receive a minimum assured pension of ₹ 3000/- per month after attaining the age of 60 yrs.,"['Employment', 'Pension', 'Self Employment', 'Traders']"
Pradhan Mantri Uchchatar Shiksha Protsahan (PM-USP) Central Sector Scheme of Scholarship for College and University students,Ministry of Education,A scholarship scheme by the Dept. of Higher Education to provide financial assistance to meritorious students from poor families to meet a part of their day-to-day expenses while pursuing higher studies. The scholarships are awarded on the basis of results of Higher Secondary / Class 12th Board Exam,"['College', 'Financial Assistance', 'Scholarship', 'Student', 'University']"
RMEWF-Financial Assistance For Vocational Training Of Widows Of Ex-Servicemen,Ministry Of Defence,A scheme to provide financial assistance to a widow of Ex-Servicemen to settle in life through vocational training.,"['Grant', 'Vocational Training', 'Widows Of Ex-Servicemen']"
Scheme For Financial Assistance For Veteran Artists,Ministry Of Culture,"A pension scheme by MoC improves the financial and socio-economic status of the old artists and scholars who have contributed significantly in their specialized fields. Still, due to old age, they have to lead a miserable life or are in penury condition.","['Artists', 'Culture', 'Financial Assistance', 'Pension', 'Senior Citizen', 'Veteran']"
Financial Assistance For The Marriage Of Daughters Of Poor Widows And Orphan Girls,Delhi,This is a welfare scheme by the GNCTD to provide financial assistance to poor widows for performing the marriage of their daughters and to provide financial assistance to the guardians including Homes/Institutions or foster parents of an orphan girl or an orphan girl for her marriage.,"['Financial Asisstance', 'Girl Child', 'Marriage', 'Orphan', 'Widow']"
