name,description,tags,combined_text
"Financial Assistance To Disabled Students Pursuing (10th, 11th, 12th Equivalent Exams)","The scheme “Financial Assistance to Disabled Students Pursuing (10th, 11th, 12th Equivalent Exams)” was launched by the Department of Social Justice, Government of Kerala.","['APL', 'BPL', 'Disabled', 'Financial Assistance', 'PwD', 'Student']",financial assistance to disabled students pursuing 10th 11th 12th equivalent exams the scheme financial assistance to disabled students pursuing 10th 11th 12th equivalent exams was launched by the department of social justice government of kerala apl bpl disabled financial assistance pwd student
ICMR- Post Doctoral Fellowship,"ICMR- Post Doctoral Fellowship (ICMR-PDF) Scheme is being instituted to foster high-quality research opportunities for promising fresh Ph.D./MD/MS holders in the areas of basic science, communicable and non-communicable diseases, & reproductive health including nutrition at ICMR Institutes/Centers.","['Fellowship', 'ICMR', 'PDF', 'Post Doctoral', 'Research']",icmr post doctoral fellowship icmr post doctoral fellowship icmrpdf scheme is being instituted to foster highquality research opportunities for promising fresh phdmdms holders in the areas of basic science communicable and noncommunicable diseases reproductive health including nutrition at icmr institutescenters fellowship icmr pdf post doctoral research
Tool Kit Grant for Traditional Handicrafts Experts,The “Tool Kit Grant for Traditional Handicrafts Experts” scheme is launched for the purpose for improving the productivity and competitiveness of the traditional OBC craftsmen ensuring quality goods for enhanced income and thereby qualitative improvement in their living conditions.,"['Craftsman', 'Grant', 'Handicrafts', 'OBC', 'Self-employment', 'Stipend', 'Tool Kit', 'Training']",tool kit grant for traditional handicrafts experts the tool kit grant for traditional handicrafts experts scheme is launched for the purpose for improving the productivity and competitiveness of the traditional obc craftsmen ensuring quality goods for enhanced income and thereby qualitative improvement in their living conditions craftsman grant handicrafts obc selfemployment stipend tool kit training
Snehasanthwanam,The Government of Kerala has launched the “Snehasanthwanam” scheme under the Kerala Social Security Mission. The scheme acts as a relief measure for the Endosulfan victims in the state of Kerala.,"['Bedridden', 'Educational Assistance', 'Endosulfan', 'Financial Assistance', 'Victim']",snehasanthwanam the government of kerala has launched the snehasanthwanam scheme under the kerala social security mission the scheme acts as a relief measure for the endosulfan victims in the state of kerala bedridden educational assistance endosulfan financial assistance victim
"Scheme for Grant of Additional Scholarship to the Students of Other Backward Classes of Andaman and Nicobar Islands, for Pursuing Higher Studies Anywhere in India after Secondary Level (Except Class XI & XII)","The objective of the scheme is to provide additional scholarship to the OBC students belonging to the non-creamy layer of Andaman & Nicobar Islands for pursuing higher education after Secondary (X)/Senior Secondary (XII), in government-recognized Polytechnic/ITI/College/University anywhere in India.","['Higher Study', 'OBC', 'Scholarship', 'Student']",scheme for grant of additional scholarship to the students of other backward classes of andaman and nicobar islands for pursuing higher studies anywhere in india after secondary level except class xi xii the objective of the scheme is to provide additional scholarship to the obc students belonging to the noncreamy layer of andaman nicobar islands for pursuing higher education after secondary xsenior secondary xii in governmentrecognized polytechniciticollegeuniversity anywhere in india higher study obc scholarship student
National Family Benefit Scheme - Uttar Pradesh,National Family Benefit Scheme or NBFS was launched by the Uttar Pradesh state government to provide financial assistance to those families that are unable to earn the necessities in life.,"['Financial Assistance', 'National Family Benefit', 'Uttar Pradesh']",national family benefit scheme uttar pradesh national family benefit scheme or nbfs was launched by the uttar pradesh state government to provide financial assistance to those families that are unable to earn the necessities in life financial assistance national family benefit uttar pradesh
Dr. Ambedakar Centrally Sponsored Scheme of Post-Matric Scholarships for the Economically Backward Class (EBC) Students,The objective of the scheme is to provide financial assistance to the Economically Backward Class (EBC) students studying at the post-matriculation or post-secondary stage to enable them to complete their education. These scholarships shall be available for studies in India only.,"['EBC', 'Economically Backward Class', 'Post Matric', 'Scholarship', 'Student']",dr ambedakar centrally sponsored scheme of postmatric scholarships for the economically backward class ebc students the objective of the scheme is to provide financial assistance to the economically backward class ebc students studying at the postmatriculation or postsecondary stage to enable them to complete their education these scholarships shall be available for studies in india only ebc economically backward class post matric scholarship student
Financial Assistance under Odisha Working Journalist Welfare Scheme,"The scheme “Odisha Working Journalist Welfare Scheme” was launched by the Information & Public Relations Department, Government of Odisha. Under the Scheme, financial assistance is provided to the legal heir of the working journalist in case of his/her death, and in case of permanent incapacitation.","['Death', 'Financial Assistance', 'Journalist', 'Permanent Incapacitation']",financial assistance under odisha working journalist welfare scheme the scheme odisha working journalist welfare scheme was launched by the information public relations department government of odisha under the scheme financial assistance is provided to the legal heir of the working journalist in case of hisher death and in case of permanent incapacitation death financial assistance journalist permanent incapacitation
Savitribai Jyotirao Phule Fellowship For Single Girl Child,"Savitribai Jyotirao Phule Fellowship for Single Girl Child (SJSGC) is a Fellowship Scheme by the University Grants Commission (UGC), Department of Higher Education, for pursuing research work leading to the award of a Ph.D. degree. The target group of this scheme is the ‘single girl child'.","['Fellowship', 'Girl Child', 'Ph.D.']",savitribai jyotirao phule fellowship for single girl child savitribai jyotirao phule fellowship for single girl child sjsgc is a fellowship scheme by the university grants commission ugc department of higher education for pursuing research work leading to the award of a phd degree the target group of this scheme is the single girl child fellowship girl child phd
Exposure Visits To The Assam Legislative Assembly,The Exposure Visits to the Assam Legislative Assembly scheme was introduced in the budget speech during the first Budget Session in July 2016. It aims to provide an opportunity for Political Science students in Assam to visit and observe the functioning of the Assam Legislative Assembly.,"['10th', '12th', 'Assam Legislative Assembly', 'Learning', 'Student Visits']",exposure visits to the assam legislative assembly the exposure visits to the assam legislative assembly scheme was introduced in the budget speech during the first budget session in july 2016 it aims to provide an opportunity for political science students in assam to visit and observe the functioning of the assam legislative assembly 10th 12th assam legislative assembly learning student visits
Scheme of Assistance for the Prevention of Alcoholism & Substance (Drugs) Abuse and for Social Defence Services: General Grant-in-Aid Programme for Financial Assistance in the Field of Social Defence,"The scheme aims to meet needs falling within the mandate of the Ministry which cannot be met under its regular schemes and support such initiatives of an innovative/pilot nature in the area of welfare and empowerment of the Ministry’s target groups, as cannot be supported under its regular schemes.","['Financial Assistance', 'Grant', 'Rehabilitation', 'Social Defence']",scheme of assistance for the prevention of alcoholism substance drugs abuse and for social defence services general grantinaid programme for financial assistance in the field of social defence the scheme aims to meet needs falling within the mandate of the ministry which cannot be met under its regular schemes and support such initiatives of an innovativepilot nature in the area of welfare and empowerment of the ministrys target groups as cannot be supported under its regular schemes financial assistance grant rehabilitation social defence
Jeevanam Self-Employment Scheme To Dependents Of Crime Victims,"The scheme “Jeevanam Self-Employment Scheme to Dependents of Crime Victims” was launched by the Department of Social Justice, Government of Kerala.","['Breadwinner', 'Dependent', 'Financial Assistance', 'Self-Employment', 'Victim']",jeevanam selfemployment scheme to dependents of crime victims the scheme jeevanam selfemployment scheme to dependents of crime victims was launched by the department of social justice government of kerala breadwinner dependent financial assistance selfemployment victim
Nari Niketans,"The ""Nari Niketans"" were established in 1976 by the Social Welfare Department, Govt. of Jammu and Kashmir wherein deserted /destitute ladies/ widows having no means of livelihood are given admissions. There are seven Nari Niketan in Jammu & Kashmir. This is a 100% State Sponsored Scheme.","['Destitute', 'Rehabilitation', 'Shelter', 'Social Welfare', 'Widow']",nari niketans the nari niketans were established in 1976 by the social welfare department govt of jammu and kashmir wherein deserted destitute ladies widows having no means of livelihood are given admissions there are seven nari niketan in jammu kashmir this is a 100 state sponsored scheme destitute rehabilitation shelter social welfare widow
Asangathit Karmakar Gambhir Bimari Chikitsa Sahayata Yojana,"Chhattisgarh State Government started a scheme ""Asangathit Karmakar Gambhir Bimari Chikitsa Sahayata Yojana"" for unorganized worker on 28 April 2012.","['Financial Assistance', 'Medical Treatment', 'Serious Illness']",asangathit karmakar gambhir bimari chikitsa sahayata yojana chhattisgarh state government started a scheme asangathit karmakar gambhir bimari chikitsa sahayata yojana for unorganized worker on 28 april 2012 financial assistance medical treatment serious illness
Airavata Scheme,"This scheme envisages partnership with corporate aggregators like OLA and UBER to facilitate self-employment of rural youth through Radio Taxi and other successful cab transport ventures. Rural youth from SC/ST communities will be provided training, mentoring and other enhanced financial assistance.",[],airavata scheme this scheme envisages partnership with corporate aggregators like ola and uber to facilitate selfemployment of rural youth through radio taxi and other successful cab transport ventures rural youth from scst communities will be provided training mentoring and other enhanced financial assistance 
Reimbursement of Stamp Duty and Registration Charges,"The scheme ""Reimbursement of Stamp Duty and Registration Charges"" by the Micro Small and Medium Enterprises Department, Government of Tamil Nadu, is introduced with the objective of reducing the stamp duty and registration charges incurred by MSEs investing in backward blocks.","['Business', 'Enterprise', 'MSME', 'Reimbursement']",reimbursement of stamp duty and registration charges the scheme reimbursement of stamp duty and registration charges by the micro small and medium enterprises department government of tamil nadu is introduced with the objective of reducing the stamp duty and registration charges incurred by mses investing in backward blocks business enterprise msme reimbursement
Support for Value Addition - Support to R&G units,"This scheme aims to enhance the quality of coffee products and achieve value addition through the introduction of improved technologies in roasting, grinding, and packaging which will result in boosting domestic coffee consumption and entrepreneurship in the coffee sector.","['Agriculture', 'Direct Benefit Transfer', 'Farmer', 'Financial Assistance', 'Subsidy']",support for value addition support to rg units this scheme aims to enhance the quality of coffee products and achieve value addition through the introduction of improved technologies in roasting grinding and packaging which will result in boosting domestic coffee consumption and entrepreneurship in the coffee sector agriculture direct benefit transfer farmer financial assistance subsidy
MANAGE Internship Programme,"MANAGE Internship Programme is open to students from the disciplines of Extension Education, Economics, Sociology, Psychology, MSW, Journalism, Communication, and Environmental Science. The internships are open year-round, and the duration ranges from 3 months upto 6 months.","['Agriculture', 'Environment', 'Internship', 'Management', 'Student']",manage internship programme manage internship programme is open to students from the disciplines of extension education economics sociology psychology msw journalism communication and environmental science the internships are open yearround and the duration ranges from 3 months upto 6 months agriculture environment internship management student
Laadli Laxmi Scheme,Laadli Laxmi Scheme was launched with the intention to address the undesirable tendency of female foeticides and with an aim towards erasing the general perception that the birth of a girl in the family is a burden on her parents/guardian during her marriage.,"['Financial Assistance', 'Girl', 'Marriage', 'Social Welfare']",laadli laxmi scheme laadli laxmi scheme was launched with the intention to address the undesirable tendency of female foeticides and with an aim towards erasing the general perception that the birth of a girl in the family is a burden on her parentsguardian during her marriage financial assistance girl marriage social welfare
Distress Relief Fund For The Differently Abled (Medical Treatment),"The scheme “Distress Relief Fund for the Differently Abled (Medical Treatment)” was launched by the Department of Social Justice, Government of Kerala.","['BPL', 'Differently Abled', 'Distress', 'Financial Assistance', 'Handicap', 'Medical Treatment', 'PwD']",distress relief fund for the differently abled medical treatment the scheme distress relief fund for the differently abled medical treatment was launched by the department of social justice government of kerala bpl differently abled distress financial assistance handicap medical treatment pwd
Coaching Schemes For Sc/st/obc (non-creamy Layer) & Minority Students For Universities,"Coaching schemes for students belonging to SC (Scheduled Caste), ST (Scheduled Tribe), OBC (Other Backward Classes) (non-creamy layer), and minority communities are implemented to provide them with equal opportunities and support in pursuing higher education.","['Coaching', 'Other Backward Classes', 'Scheduled Caste', 'Scheduled Tribe', 'Students']",coaching schemes for scstobc noncreamy layer minority students for universities coaching schemes for students belonging to sc scheduled caste st scheduled tribe obc other backward classes noncreamy layer and minority communities are implemented to provide them with equal opportunities and support in pursuing higher education coaching other backward classes scheduled caste scheduled tribe students
Atma Nirbhar Bagwani Yojana,The schemes are part of the Atma Nirbhar program announced during the Budget session held in February this year. A total amount of Rs 120 crores – Rs 60 crore for each scheme – has been allocated to the two concerned departments of Agriculture and Horticulture.,"['Farmers', 'Subsidy', 'Umbrella Scheme']",atma nirbhar bagwani yojana the schemes are part of the atma nirbhar program announced during the budget session held in february this year a total amount of rs 120 crores rs 60 crore for each scheme has been allocated to the two concerned departments of agriculture and horticulture farmers subsidy umbrella scheme
Mukhyamantri Nischay Swayam Sahayata Bhatta Yojna,The allowance will be provided by the Government of Bihar to the educated unemployed citizens under the Chief Minister Self Help Allowance Scheme. So that the citizens of the state do not have to face financial crisis.,"['Financial Assistance', 'Skilled Youth Program', 'Social Welfare', 'Unemployment']",mukhyamantri nischay swayam sahayata bhatta yojna the allowance will be provided by the government of bihar to the educated unemployed citizens under the chief minister self help allowance scheme so that the citizens of the state do not have to face financial crisis financial assistance skilled youth program social welfare unemployment
Natural Calamity Relief to Fishermen of State,"“Natural Calamity Relief to Fishermen of State” is a scheme by the Dept of Fisheries, Govt of Goa. Through this scheme, financial assistance is provided to the active fishermen who contribute to the Fishermen Corpus Relief Fund, whose fishing vessels are damaged or lost due to natural calamities.","['Crisis', 'Disaster', 'Financial Assistance', 'Fishermen', 'Relief']",natural calamity relief to fishermen of state natural calamity relief to fishermen of state is a scheme by the dept of fisheries govt of goa through this scheme financial assistance is provided to the active fishermen who contribute to the fishermen corpus relief fund whose fishing vessels are damaged or lost due to natural calamities crisis disaster financial assistance fishermen relief
Industry Linked Biotechnology Research Scheme,The Scheme “Industry Linked Biotechnology Research Scheme (IBRS)” facilitates Academia-Industry interaction by undertaking projects in collaboration with an industrial partner which should result in commercializing the product or process or service.,"['Biotechnology', 'Grant', 'Industry', 'Research', 'Scientist', 'Technologist']",industry linked biotechnology research scheme the scheme industry linked biotechnology research scheme ibrs facilitates academiaindustry interaction by undertaking projects in collaboration with an industrial partner which should result in commercializing the product or process or service biotechnology grant industry research scientist technologist
Financial Assistance for the Purchase of Lifejackets and Lifebuoys for Fishermen,"“Financial Assistance for the Purchase of Lifejackets and Lifebuoys for Fishermen” is a scheme by the Dept. of Fisheries, Govt. of Goa. Through this scheme, financial assistance amounting to ₹50% is provided by the Government to eligible fishermen for the Purchase of Lifejackets and Lifebuoys.","['Financial Assistance', 'Fish', 'Fisheries', 'Fishermen']",financial assistance for the purchase of lifejackets and lifebuoys for fishermen financial assistance for the purchase of lifejackets and lifebuoys for fishermen is a scheme by the dept of fisheries govt of goa through this scheme financial assistance amounting to 50 is provided by the government to eligible fishermen for the purchase of lifejackets and lifebuoys financial assistance fish fisheries fishermen
